Name ,Link,Comment,Emotion,Tag
Soikat Sarkar,https://www.facebook.com/groups/018582011067769,ওসাধারন .. খুব ভাল হইছে .. নিতে চাই ,Positive,2
Tanzil Ayon,https://www.facebook.com/groups/018582011067769,আমি নিতে চাই,Positive,2
HM Athir Al Azad,https://www.facebook.com/groups/018582011067769,আমি নিয়েছি অনেক সুন্দর ওয়াজ ছিলো,Positive,2
মোহাম্মদ ইকবাল হোসাইন রুবেল,https://www.facebook.com/groups/018582011067769,দারুন কালেকশন,Positive,2
DrSheikh Rumi,https://www.facebook.com/groups/018582011067769,"সিম সাপোর্ট করবে কি,,আর প্রাইস কত",Neutral,1
Shohrab Chowdhury,https://www.facebook.com/groups/018582011067769,কি কি ফিচার আছে?,Neutral,1
Nayeem Sheikh,https://www.facebook.com/groups/018582011067769,অনেক দিন ধরে ইউজ করতেছি। চার্জ কম থাকে,Negative,0
Al-Amin Hasan Rashed,https://www.facebook.com/groups/018582011067769,৬০/৬১ কোনটা বেটার?,Neutral,1
Monirul Ahmed,https://www.facebook.com/groups/018582011067769,দাম কত,Neutral,1
Sajjad Hasan,https://www.facebook.com/groups/018582011067769,ফুল ঠিকানা দেন,Neutral,1
Md Shahin,https://www.facebook.com/groups/018582011067769,প্রাইজ,Neutral,1
Abir Hossain,https://www.facebook.com/groups/018582011067769,দাম কত পরবে বলুন,Neutral,1
মিসেস কেশব সেন,https://www.facebook.com/groups/018582011067769,চার্জ কত সময় থাকে?,Neutral,1
Karim Sayeed,https://www.facebook.com/groups/018582011067769,কত টাকা?,Neutral,1
Sazal Roy,https://www.facebook.com/groups/018582011067769,ভাই আমি টি৮০০ আলট্রা ব্যবহার করি,Neutral,1
Awbinash Awbin,https://www.facebook.com/groups/018582011067769,"আর একটু বড়ো সাইজ ডিসপ্লে   দরকার | ২.০৯"" ডিসপ্লে কত টাকা পর্বে একটু বলবেন???",Neutral,1
Saddam Hossain,https://www.facebook.com/groups/018582011067769,ডিস্কাউন্ট এ দাম কত?,Neutral,1
SF Johan,https://www.facebook.com/groups/018582011067769,কালো তার দাম কত,Neutral,1
Saiful Islam,https://www.facebook.com/groups/018582011067769,ওয়াটার প্রুফ?,Neutral,1
Naeem Al Yusuf Malik,https://www.facebook.com/groups/018582011067769,কোনটা প্রাইস কত ?,Neutral,1
Saf Wan,https://www.facebook.com/groups/018582011067769,প্রাইস তা কমেন্ট এ বলেন ভাই,Neutral,1
Naeem Al Yusuf Malik,https://www.facebook.com/groups/018582011067769,ইনবক্স এ জায়গা নাই.ফোন মেমরি ফুল,Negative,0
Md Jamil Khan,https://www.facebook.com/groups/018582011067769,একানে প্রাইস দিতে কি ভয় করে নাকি আপনাদের,Negative,0
Niloy Hasan,https://www.facebook.com/groups/018582011067769,সিম ব্যবহার করা যায় কি??,Neutral,1
Md Raju,https://www.facebook.com/groups/018582011067769,আইওএস ই সমর্থন করবে??,Neutral,1
Md Raju,https://www.facebook.com/groups/018582011067769,সিলেটে নেয়া যাবে?,Neutral,1
Anwar Ullah,https://www.facebook.com/groups/018582011067769,অওডি আছে,Neutral,1
Hafezur Rahman Prottoy,https://www.facebook.com/groups/018582011067769,জিএস মিব্র এস্ট্রাপ হবে ?,Neutral,1
ফরহাদ সুজন,https://www.facebook.com/groups/018582011067769,"মার্কেট কাপানো ,,??",Neutral,1
Arush Ahmed,https://www.facebook.com/groups/018582011067769,এইটা আমার লাগবে,Positive,2
Arush Ahmed,https://www.facebook.com/groups/018582011067769,সাতার কাটা যাবে ?,Neutral,1
Mamun Sheikh,https://www.facebook.com/groups/018582011067769,এর চেয়ে বড় ডিসপ্লে  কি  আছে,Neutral,1
Dishad Taj,https://www.facebook.com/groups/018582011067769,আমি নিয়েছি অনেক সুন্দর ওয়াচ ছিলো,Positive,2
Rasheed Rayhan,https://www.facebook.com/groups/018582011067769,ওয়াটার প্রফ নাকি ?,Neutral,1
Riaj Khan,https://www.facebook.com/groups/018582011067769,দাম কত টাকা,Neutral,1
Fahimuzzaman Fahim,https://www.facebook.com/bddreamgadget,দাম কত ভাই ?,Neutral,1
Mohammad Shahjada Shovon,https://www.facebook.com/bddreamgadget,দতম কত,Neutral,1
Md Jahid Hasan,https://www.facebook.com/bddreamgadget,লাগবে,Positive,2
Mursalin Musabbir,https://www.facebook.com/bddreamgadget,সাদা রঙের হবে?,Neutral,1
Joy Saha,https://www.facebook.com/bddreamgadget,কতো,Neutral,1
Adib Hosain,https://www.facebook.com/bddreamgadget,সাদা কালার লাগবে,Neutral,1
Rasel Mohammad,https://www.facebook.com/bddreamgadget,ব্যাটারি কতো আম্পিয়ার,Neutral,1
Rana Rabby,https://www.facebook.com/bddreamgadget,অর্ডার করবো কিন্তু আমার সাদা রঙের লাগবে,Positive,2
Enaeitur Rahman Eitul,https://www.facebook.com/bddreamgadget,ব্যাটারী কত?,Positive,2
Joy Saha,https://www.facebook.com/bddreamgadget,ক্লক এর বডি আর কালার কি সিলভার হবে???দাম কত??,Neutral,1
Aadeez Forhad,https://www.facebook.com/bddreamgadget,ভাই দাম কত,Neutral,1
Manoranjan Ojha,https://www.facebook.com/bddreamgadget,দাম কত টাকা ভাই,Neutral,1
জি হা দ,https://www.facebook.com/bddreamgadget,ভালো লাগছে,Positive,2
Shuvo Saha,https://www.facebook.com/bddreamgadget,পাইস কত ভাইয়া,Neutral,1
Tamjid Hasan,https://www.facebook.com/bddreamgadget,আমি আগ্রহী,Positive,2
Rs Sojeeb,https://www.facebook.com/bddreamgadget,আমি সন্তুষ্ট,Positive,2
Md Sumon Shah,https://www.facebook.com/bddreamgadget,ঢাাার বাইরে ডেলিভারি সময় কত দিন লাগবে.?,Neutral,1
শিশির বিন্দু ধর,https://www.facebook.com/bddreamgadget,ক্যামেরা আছে নি,Neutral,1
Aprotim Saha,https://www.facebook.com/bddreamgadget,আমি এটা চাই,Positive,2
Zaman,https://www.facebook.com/bddreamgadget,পেমেন্ট করার আগে চেক করে নিতে পারব কি।,Positive,2
Km Tuhin Khan,https://www.facebook.com/bddreamgadget,গিফট কর,Positive,2
Ashish Mojumder,https://www.facebook.com/bddreamgadget,"আমি ঘড়ি পেয়েছি, এটা সত্যিই সুন্দর ",Positive,2
Ashish Mojumder,https://www.facebook.com/bddreamgadget,আমাকে একটি দেন ,Positive,2
Omer Faruk Khokon,https://www.facebook.com/bddreamgadget,এই ঘড়িটি কি পুরুষ ও মহিলা উভয়েরই পরতে পারবে?,Neutral,1
Kazi Jahid Hossain,https://www.facebook.com/bddreamgadget,আপনার সাইট অ্যাক্সেসযোগ্য নয়…,Neutral,1
Prosenjit Datta Biswa,https://www.facebook.com/bddreamgadget,এই ঘড়ি টা দরকার ইনবক্স করেন,Positive,2
Jishu Chakraborty,https://www.facebook.com/bddreamgadget,ওরে জিনিস রে ভাইয়া,Positive,2
Jishu Chakraborty,https://www.facebook.com/bddreamgadget,চমৎকার,Positive,2
পার্থ মুখার্জী,https://www.facebook.com/bddreamgadget,অসাধারণ,Positive,2
Rajib Hossain,https://www.facebook.com/bddreamgadget,পাওয়া যাবে ?,Positive,2
Mashfiqur Rahman Shishir,https://www.facebook.com/groups/420146229762480,কিনে দেও সাঞ্জিদা আন্টি ,Positive,2
Jovan ASif,https://www.facebook.com/groups/420146229762480,দারুন,Positive,2
Kazi Jahid Hossain,https://www.facebook.com/groups/420146229762480,দারুন কালেকশন,Positive,2
Md. Fahad Hossain,https://www.facebook.com/groups/420146229762480,"কেন রে ভাই দেখাবেন পাবলিক প্লেসে,আর দাম জিজ্ঞাসা করলে নিয়ে যাচ্ছেন চিপাই,বিশ্বাস করি কিভাবে??",Negative,0
Abdullah Mahfuz,https://www.facebook.com/groups/420146229762480,হুম্ম স্মার্ট ঘড়ি,Neutral,1
বড়ু চন্ডীদাস,https://www.facebook.com/groups/420146229762480,দাম টা কেউ এখানে বলেন,Neutral,1
Md Tafsir Hossain,https://www.facebook.com/groups/420146229762480,প্রাইস তা কমেন্ট এ বলেন ভাই,Neutral,1
Åbìr HøSäåìñ Shövøñ,https://www.facebook.com/groups/420146229762480,মোবাইলেন ইনকাম কল দেখা যায় ? ,Neutral,1
Arif Rahman,https://www.facebook.com/groups/420146229762480,"সিম সাপোর্ট করবে কি,,আর প্রাইস কত",Neutral,1
